ID_V2.1D ID_V4.1 RA DEC FIELD
23365 22353 150.081665 2.406698 COSMOS
21298 20360 150.07962 2.386338 COSMOS
21323 20368 150.082016 2.386661 COSMOS
23604 22582 150.071579 2.411124 COSMOS
23330 22285 150.072388 2.411419 COSMOS
21457 20500 150.072784 2.387867 COSMOS
25935 24776 150.058945 2.43446 COSMOS
23977 22939 150.056442 2.413366 COSMOS
24054 22985 150.058716 2.413707 COSMOS
22900 21928 150.05542 2.402404 COSMOS
8288 18550 189.372281 62.232968 GOODS-N
6883 15183 189.396233 62.216656 GOODS-N
8112 18161 189.363387 62.231349 GOODS-N
8299 18633 189.349345 62.233462 GOODS-N
6547 14466 189.37785 62.213281 GOODS-N
6956 15439 189.357565 62.217933 GOODS-N
6976 15359 189.349967 62.217878 GOODS-N
6933 15159 189.346725 62.21679 GOODS-N
7231 16060 189.327407 62.220864 GOODS-N
7286 16232 189.33109 62.222258 GOODS-N
7683 17082 189.299282 62.225956 GOODS-N
4988 10867 189.345567 62.196346 GOODS-N
4377 9797 189.339045 62.192027 GOODS-N
4499 10044 189.324228 62.191715 GOODS-N
4656 10041 189.327274 62.19272 GOODS-N
4569 10109 189.310893 62.192387 GOODS-N
4665 10377 189.313461 62.193339 GOODS-N
4970 10842 189.29615 62.196164 GOODS-N
6459 14283 189.260841 62.212227 GOODS-N
4073 9183 189.299374 62.187648 GOODS-N
3513 7760 189.300255 62.180805 GOODS-N
3675 7974 189.30321 62.181988 GOODS-N
3716 8371 189.288583 62.183416 GOODS-N
3654 8099 189.282645 62.1827 GOODS-N
3254 7138 189.268275 62.177339 GOODS-N
3611 8038 189.254411 62.181765 GOODS-N
4032 9030 189.236969 62.186791 GOODS-N
4414 9913 189.213127 62.191144 GOODS-N
3540 7939 189.221287 62.181274 GOODS-N
4338 9619 189.189703 62.191064 GOODS-N
1645 3441 189.251086 62.152729 GOODS-N
3604 8033 189.186907 62.181908 GOODS-N
-9999 40738 214.79361 52.874504 AEGIS
-9999 38257 214.778641 52.849659 AEGIS
-9999 36292 214.780212 52.841927 AEGIS
13064 36741 214.794769 52.855259 AEGIS
13155 37143 214.793243 52.85569 AEGIS
-9999 37776 214.811615 52.871239 AEGIS
-9999 37664 214.812408 52.870953 AEGIS
-9999 37033 214.820465 52.874542 AEGIS
-9999 37496 214.81842 52.875412 AEGIS
12205 33958 214.819672 52.861565 AEGIS
11327 31531 214.81752 52.850101 AEGIS
10375 28473 214.810272 52.833057 AEGIS
10259 28149 214.811722 52.832802 AEGIS
10942 30014 214.839127 52.860138 AEGIS
9260 25522 214.816879 52.82634 AEGIS
9643 27039 214.834442 52.843735 AEGIS
10231 28023 214.852432 52.861416 AEGIS
9867 27252 214.855621 52.860031 AEGIS
-9999 24846 214.855392 52.851437 AEGIS
7789 21572 214.845245 52.831299 AEGIS
7598 22678 214.844177 52.83152 AEGIS
7369 20611 214.847107 52.828423 AEGIS
-9999 20784 214.859314 52.837124 AEGIS
-9999 20791 214.858673 52.837181 AEGIS
-9999 19719 214.872437 52.84251 AEGIS
-9999 17632 214.870758 52.833202 AEGIS
5426 15457 214.869247 52.823212 AEGIS
6153 17754 214.898804 52.852562 AEGIS
5231 15171 214.901321 52.844311 AEGIS
3686 10832 214.892136 52.82085 AEGIS
4133 11766 214.921265 52.845795 AEGIS
2564 7986 214.905563 52.817806 AEGIS
1734 6311 214.905762 52.809868 AEGIS
788 3011 214.908524 52.798473 AEGIS
1902 6315 214.944107 52.838139 AEGIS
13828 39483 214.819855 52.884922 AEGIS
-9999 37943 214.818787 52.876854 AEGIS
13539 38310 214.829803 52.886757 AEGIS
13414 38020 214.831619 52.886463 AEGIS
13256 37366 214.838165 52.88892 AEGIS
13184 37086 214.839233 52.888496 AEGIS
13062 36858 214.842865 52.889805 AEGIS
-9999 33768 214.834045 52.870132 AEGIS
-9999 37401 214.863861 52.907097 AEGIS
11297 31441 214.850967 52.873474 AEGIS
-9999 34874 214.875931 52.904675 AEGIS
10369 28659 214.854477 52.864731 AEGIS
9867 27252 214.855621 52.860031 AEGIS
10476 28650 214.869736 52.876202 AEGIS
10222 28038 214.87587 52.878063 AEGIS
10161 27882 214.876816 52.877834 AEGIS
9896 27458 214.8871 52.883053 AEGIS
-9999 28421 214.90477 52.89967 AEGIS
-9999 27429 214.907623 52.899017 AEGIS
-9999 22935 214.901321 52.876553 AEGIS
-9999 23206 214.899826 52.877037 AEGIS
7442 20924 214.903824 52.869339 AEGIS
6153 17754 214.898804 52.852562 AEGIS
6056 17664 214.911118 52.860775 AEGIS
6954 19387 214.933945 52.885677 AEGIS
6179 17213 214.93277 52.876156 AEGIS
5190 14776 214.927719 52.862473 AEGIS
4133 11766 214.921265 52.845795 AEGIS
5148 14818 214.947052 52.876198 AEGIS
4877 16066 214.946106 52.876217 AEGIS
4262 12512 214.951111 52.869099 AEGIS
3661 10970 214.967422 52.874561 AEGIS
2902 9128 214.976212 52.872486 AEGIS
1303 4519 214.966522 52.846729 AEGIS
2040 6500 214.987701 52.870071 AEGIS
18907 18116 150.150299 2.364125 COSMOS
19119 18294 150.146194 2.366298 COSMOS
19036 18206 150.138062 2.364732 COSMOS
19101 18284 150.139664 2.364992 COSMOS
19437 18604 150.132324 2.368933 COSMOS
19470 18633 150.131775 2.368938 COSMOS
19457 18651 150.128052 2.369443 COSMOS
19550 18668 150.129288 2.369574 COSMOS
17482 16594 150.124954 2.350219 COSMOS
17101 16342 150.122528 2.347118 COSMOS
16861 16141 150.120743 2.34444 COSMOS
17292 16527 150.118103 2.347806 COSMOS
20393 19499 150.110092 2.377325 COSMOS
20624 19712 150.106827 2.379728 COSMOS
20331 19439 150.101501 2.376723 COSMOS
19779 18924 150.097305 2.371788 COSMOS
17251 16482 150.097687 2.348159 COSMOS
17312 16545 150.094208 2.348533 COSMOS
17365 -9999 150.09317 2.348355 COSMOS
19717 18859 150.086472 2.371468 COSMOS
19355 18517 150.087433 2.371742 COSMOS
17493 16609 150.088074 2.350293 COSMOS
16494 15776 150.086441 2.340362 COSMOS
16289 15556 150.085388 2.340316 COSMOS
20661 19753 150.07576 2.380644 COSMOS
16387 15656 150.08046 2.339661 COSMOS
20979 20062 150.068481 2.383552 COSMOS
20804 19886 150.066574 2.38119 COSMOS
18569 17762 150.068298 2.360252 COSMOS
20891 19985 150.060349 2.382773 COSMOS
20825 19917 150.054855 2.381469 COSMOS
19471 18672 150.052307 2.369308 COSMOS
15645 14954 150.055328 2.332553 COSMOS
15552 14851 150.05571 2.332765 COSMOS
13357 34851 189.214321 62.323237 GOODS-N
13216 34436 189.206127 62.319929 GOODS-N
12933 33548 189.210406 62.313253 GOODS-N
12950 33579 189.189438 62.313689 GOODS-N
12523 32033 189.204558 62.303908 GOODS-N
12083 30260 189.226266 62.292244 GOODS-N
11961 29743 189.223517 62.290086 GOODS-N
12168 30564 189.204078 62.294339 GOODS-N
12024 30053 189.197529 62.29133 GOODS-N
11745 28805 189.196902 62.284106 GOODS-N
12039 30090 189.170172 62.29124 GOODS-N
11773 28890 189.178237 62.285173 GOODS-N
10895 25773 189.205681 62.267926 GOODS-N
10805 25498 189.201972 62.266611 GOODS-N
11131 26621 189.179829 62.272322 GOODS-N
11252 26798 189.154663 62.274602 GOODS-N
11619 28270 189.129825 62.281167 GOODS-N
11516 27876 189.123697 62.279249 GOODS-N
11382 27366 189.11497 62.276578 GOODS-N
10316 23953 189.140289 62.259171 GOODS-N
11249 26888 189.094383 62.274943 GOODS-N
9776 22235 189.139196 62.251304 GOODS-N
9960 22823 189.122649 62.253615 GOODS-N
10124 23499 189.095582 62.257407 GOODS-N
10125 23173 189.075798 62.255855 GOODS-N
9831 22483 189.078712 62.251895 GOODS-N
9875 22372 189.079228 62.252193 GOODS-N
9969 22904 189.067164 62.253834 GOODS-N
7956 17599 189.121464 62.228903 GOODS-N
13115 37248 214.802948 52.862297 AEGIS
13196 37115 214.802032 52.862316 AEGIS
11942 33039 214.791473 52.838127 AEGIS
12330 34304 214.8172 52.860832 AEGIS
-9999 33886 214.834763 52.872669 AEGIS
12075 33381 214.839478 52.87376 AEGIS
10862 29690 214.833298 52.854904 AEGIS
9306 25574 214.819473 52.828358 AEGIS
-9999 25622 214.831863 52.838161 AEGIS
9107 25403 214.834183 52.837517 AEGIS
10052 27351 214.858871 52.863686 AEGIS
9394 25664 214.860535 52.85836 AEGIS
7789 21572 214.845245 52.831299 AEGIS
7598 22678 214.844177 52.83152 AEGIS
7369 20611 214.847107 52.828423 AEGIS
-9999 21309 214.862412 52.842922 AEGIS
-9999 20442 214.871231 52.845131 AEGIS
-9999 18508 214.868225 52.835556 AEGIS
5526 15419 214.864517 52.820393 AEGIS
6440 17881 214.894135 52.851681 AEGIS
6506 18438 214.892761 52.852108 AEGIS
5270 14880 214.888687 52.835266 AEGIS
4748 13470 214.897736 52.836182 AEGIS
4499 12933 214.900711 52.83556 AEGIS
3631 10447 214.894348 52.821377 AEGIS
4140 11823 214.915329 52.841618 AEGIS
3697 10965 214.919144 52.84024 AEGIS
